area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,CERRADO,ANILLO MAL SOLDADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,COMPONENTE ARRANCADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,COMPONENTE MAL INSERTADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,DEFECTO COSMETICO EN LENTE,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,DEFECTO COSMETICO EN MASCARA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,DIAL DAÑADO EN LA OPERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,DIAL MAL ENSAMBLADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,EXCESO DE PRUEBAS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,FALLA DE SUMINISTROS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,INTRODUCCION DE PROYECTOS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,LENTE CON SNAP QUEBRADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MAL FLUJO POR CALIDAD,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MAL FUNCIONAMIENTO DE MOTOR,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MALA CALIDAD DE MATERIAL POR PROVEEDOR,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL CAIDO AL PISO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL CON DEFECTO DE IHM,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL DAÑADO/QUEBRADO POR MAQUINA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL MAL ENSAMBLADO POR MAQUINA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL MAL SOLDADO POR MAQUINA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL OBSOLETO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL QUEBRADO EN OPERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,MUESTRA DE ORO CADUCA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,PARTICULAS EN DIFUSOR,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,PCB DAÑADO EN LA OPERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,PHASE OUT,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POINTER ELEVADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POINTER DESCALIBRADO EN LA OPERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POINTER MAL CALIBRADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POINTER NO COLOCADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POINTER SOBREPRENSADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,POR FALTA DE MATERIAL,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,PRUEBAS DE DESPRENDIMIENTO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,PRUEBAS DE LIBERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,RETRABAJO POR EL PROYECTO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,SIN PRUEBA ANTERIOR POR EQUIPO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO,SIN PRUEBA ANTERIOR POR MAL FLUJO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,ANILLO MAL SOLDADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,COMPONENTE ARRANCADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,COMPONENTE MAL INSERTADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,DEFECTO COSMETICO EN LENTE,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,DEFECTO COSMETICO EN MASCARA,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,DIAL DAÑADO EN LA OPERACION,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,DIAL MAL ENSAMBLADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,EXCESO DE PRUEBAS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,FALLA DE SUMINISTROS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,INTRODUCCION DE PROYECTOS,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,LENTE CON SNAP QUEBRADO,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,MAL FLUJO POR CALIDAD,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,MAL FUNCIONAMIENTO DE MOTOR,TOYOTA HVAC
BACKEND/ENSAMBLE FINAL,CERRADO AUTOMATICO,MALA CALIDAD DE MATERIAL POR PROVEEDOR,TOYOTA HVAC
