area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MALA SECUENCIA,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MALA SECUENCIA,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MALA SECUENCIA,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MALA SECUENCIA,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO BARRIDO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO BARRIDO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO BARRIDO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO BARRIDO,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO CAPADO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO CAPADO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO CAPADO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO CAPADO,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO EQUIVOCADO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO EQUIVOCADO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO EQUIVOCADO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO EQUIVOCADO,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO MAL COLOCADO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO MAL COLOCADO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO MAL COLOCADO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO MAL COLOCADO,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,UNIDAD CAIDA AL PISO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,ATORNILLADO,UNIDAD CAIDA AL PISO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,COMPONENTE MAL COLOCADO,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,COMPONENTE MAL COLOCADO,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,COMPONENTE MAL COLOCADO,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,COMPONENTE MAL COLOCADO,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,DAÑO POR FIXTURA,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,DAÑO POR FIXTURA,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,DAÑO POR FIXTURA,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,DAÑO POR FIXTURA,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,EXCESO DE PRUEBAS,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,EXCESO DE PRUEBAS,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,EXCESO DE PRUEBAS,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,EXCESO DE PRUEBAS,PROVEEDOR,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,GOLDEN OBSOLETA,MANO DE OBRA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,GOLDEN OBSOLETA,MAQUINA,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,GOLDEN OBSOLETA,METODO,PE,SID914
BACKEND/ENSAMBLE FINAL,COLD TEST,GOLDEN OBSOLETA,PROVEEDOR,,
BACKEND/ENSAMBLE FINAL,COLD TEST,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,,
BACKEND/ENSAMBLE FINAL,COLD TEST,MATERIAL FUERA DE ESPECIFICACION,MAQUINA,,
BACKEND/ENSAMBLE FINAL,COLD TEST,MATERIAL FUERA DE ESPECIFICACION,METODO,,
BACKEND/ENSAMBLE FINAL,COLD TEST,MATERIAL FUERA DE ESPECIFICACION,PROVEEDOR,,
BACKEND/ENSAMBLE FINAL,COLD TEST,PRUEBA DE INGENIERIA,MANO DE OBRA,,
BACKEND/ENSAMBLE FINAL,COLD TEST,PRUEBA DE INGENIERIA,MAQUINA,,
BACKEND/ENSAMBLE FINAL,COLD TEST,PRUEBA DE INGENIERIA,METODO,,
BACKEND/ENSAMBLE FINAL,COLD TEST,PRUEBA DE INGENIERIA,PROVEEDOR,,
BACKEND/ENSAMBLE FINAL,COLD TEST,SIN EVIDENCIA DE PIN,MANO DE OBRA,,
