area,tecnologia,defecto,causa,division,proyecto
SMD,X3,ADICIONALES,MAQUINA,PE,EMS2208
SMD,X3,BARRIDA,MAQUINA,PE,EMS2208
SMD,X3,CANTO,MAQUINA,PE,EMS2208
SMD,X3,COMPONENTE DE CABEZA,MAQUINA,PE,EMS2208
SMD,X3,COMPONENTE EQUIVOCADO,MAQUINA,PE,EMS2208
SMD,X3,COMPONENTE GIRADO,MAQUINA,PE,EMS2208
SMD,X3,CONTAMINACION,MAQUINA,PE,EMS2208
SMD,X3,DESPLAZADOS,MAQUINA,PE,EMS2208
SMD,X3,FALTANTES,MAQUINA,PE,EMS2208
SMD,X3,FALTA DE MATERIAL,MAQUINA,PE,EMS2208
SMD,X3,INSERCION MANUAL INCOMPLETA,MAQUINA,PE,EMS2208
SMD,X3,MAL MANEJO,MAQUINA,PE,EMS2208
SMD,X3,PANEL ABORTADO,MAQUINA,PE,EMS2208
SMD,X3,PANEL ATORADO,MAQUINA,PE,EMS2208
SMD,X3,PIN ELEVADO,MAQUINA,PE,EMS2208
SMD,X3,POLARIDAD INVERTIDA,MAQUINA,PE,EMS2208
SMD,X3,SET UP,MAQUINA,PE,EMS2208
SMD,X3,TOMBSTONE,MAQUINA,PE,EMS2208
SMD,X3,UNIDAD CAIDA,MAQUINA,PE,EMS2208
SMD,X3,ADICIONALES,MANO DE OBRA,PE,EMS2208
SMD,X3,BARRIDA,MANO DE OBRA,PE,EMS2208
SMD,X3,CANTO,MANO DE OBRA,PE,EMS2208
SMD,X3,COMPONENTE DE CABEZA,MANO DE OBRA,PE,EMS2208
SMD,X3,COMPONENTE EQUIVOCADO,MANO DE OBRA,PE,EMS2208
SMD,X3,COMPONENTE GIRADO,MANO DE OBRA,PE,EMS2208
SMD,X3,CONTAMINACION,MANO DE OBRA,PE,EMS2208
SMD,X3,DESPLAZADOS,MANO DE OBRA,PE,EMS2208
SMD,X3,FALTANTES,MANO DE OBRA,PE,EMS2208
SMD,X3,FALTA DE MATERIAL,MANO DE OBRA,PE,EMS2208
SMD,X3,INSERCION MANUAL INCOMPLETA,MANO DE OBRA,PE,EMS2208
SMD,X3,MAL MANEJO,MANO DE OBRA,PE,EMS2208
SMD,X3,PANEL ABORTADO,MANO DE OBRA,PE,EMS2208
SMD,X3,PANEL ATORADO,MANO DE OBRA,PE,EMS2208
SMD,X3,PIN ELEVADO,MANO DE OBRA,PE,EMS2208
SMD,X3,POLARIDAD INVERTIDA,MANO DE OBRA,PE,EMS2208
SMD,X3,SET UP,MANO DE OBRA,PE,EMS2208
SMD,X3,TOMBSTONE,MANO DE OBRA,PE,EMS2208
SMD,X3,UNIDAD CAIDA,MANO DE OBRA,PE,EMS2208
SMD,X3,ADICIONALES,METODO,PE,EMS2208
SMD,X3,BARRIDA,METODO,PE,EMS2208
SMD,X3,CANTO,METODO,PE,EMS2208
SMD,X3,COMPONENTE DE CABEZA,METODO,PE,EMS2208
SMD,X3,COMPONENTE EQUIVOCADO,METODO,PE,EMS2208
SMD,X3,COMPONENTE GIRADO,METODO,PE,EMS2208
SMD,X3,CONTAMINACION,METODO,PE,EMS2208
SMD,X3,DESPLAZADOS,METODO,PE,EMS2208
SMD,X3,FALTANTES,METODO,PE,EMS2208
SMD,X3,FALTA DE MATERIAL,METODO,PE,EMS2208
SMD,X3,INSERCION MANUAL INCOMPLETA,METODO,PE,EMS2208
SMD,X3,MAL MANEJO,METODO,PE,EMS2208
SMD,X3,PANEL ABORTADO,METODO,PE,EMS2208
SMD,X3,PANEL ATORADO,METODO,PE,EMS2208
SMD,X3,PIN ELEVADO,METODO,PE,EMS2208
SMD,X3,POLARIDAD INVERTIDA,METODO,PE,EMS2208
SMD,X3,SET UP,METODO,PE,EMS2208
SMD,X3,TOMBSTONE,METODO,PE,EMS2208
SMD,X3,UNIDAD CAIDA,METODO,PE,EMS2208
