area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,CARGA,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,EOL/LASER,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,PRESSFIT,B&S 2,ANTENA,ANTENA
BACKEND/ENSAMBLE FINAL,PU,B&S 2,ANTENA,ANTENA
SMD,DEK,B&S 2,Linea D,ANTENA
SMD,DEK,B&S 2,Linea I,ANTENA
SMD,DEK,B&S 2,Linea O,ANTENA
SMD,DEK,B&S 2,Linea P,ANTENA
SMD,DEK,B&S 2,Linea Q,ANTENA
SMD,DESPANELIZADO,B&S 2,Linea D,ANTENA
SMD,DESPANELIZADO,B&S 2,Linea I,ANTENA
SMD,DESPANELIZADO,B&S 2,Linea O,ANTENA
SMD,DESPANELIZADO,B&S 2,Linea P,ANTENA
SMD,DESPANELIZADO,B&S 2,Linea Q,ANTENA
SMD,FUJI,B&S 2,Linea D,ANTENA
SMD,FUJI,B&S 2,Linea I,ANTENA
SMD,FUJI,B&S 2,Linea O,ANTENA
SMD,FUJI,B&S 2,Linea P,ANTENA
SMD,FUJI,B&S 2,Linea Q,ANTENA
SMD,HORNO DE REFLUJO,B&S 2,Linea D,ANTENA
SMD,HORNO DE REFLUJO,B&S 2,Linea I,ANTENA
SMD,HORNO DE REFLUJO,B&S 2,Linea O,ANTENA
SMD,HORNO DE REFLUJO,B&S 2,Linea P,ANTENA
SMD,HORNO DE REFLUJO,B&S 2,Linea Q,ANTENA
SMD,ICT,B&S 2,Linea D,ANTENA
SMD,ICT,B&S 2,Linea I,ANTENA
SMD,ICT,B&S 2,Linea O,ANTENA
SMD,ICT,B&S 2,Linea P,ANTENA
SMD,ICT,B&S 2,Linea Q,ANTENA
SMD,LAQUEADO,B&S 2,Linea D,ANTENA
SMD,LAQUEADO,B&S 2,Linea I,ANTENA
SMD,LAQUEADO,B&S 2,Linea O,ANTENA
SMD,LAQUEADO,B&S 2,Linea P,ANTENA
SMD,LAQUEADO,B&S 2,Linea Q,ANTENA
SMD,LASER,B&S 2,Linea D,ANTENA
SMD,LASER,B&S 2,Linea I,ANTENA
SMD,LASER,B&S 2,Linea O,ANTENA
SMD,LASER,B&S 2,Linea P,ANTENA
SMD,LASER,B&S 2,Linea Q,ANTENA
SMD,MPM,B&S 2,Linea D,ANTENA
SMD,MPM,B&S 2,Linea I,ANTENA
SMD,MPM,B&S 2,Linea O,ANTENA
SMD,MPM,B&S 2,Linea P,ANTENA
SMD,MPM,B&S 2,Linea Q,ANTENA
SMD,OLA,B&S 2,Linea D,ANTENA
SMD,OLA,B&S 2,Linea I,ANTENA
SMD,OLA,B&S 2,Linea O,ANTENA
SMD,OLA,B&S 2,Linea P,ANTENA
SMD,OLA,B&S 2,Linea Q,ANTENA
SMD,PIN IN PASTE,B&S 2,Linea D,ANTENA
SMD,PIN IN PASTE,B&S 2,Linea I,ANTENA
SMD,PIN IN PASTE,B&S 2,Linea O,ANTENA
SMD,PIN IN PASTE,B&S 2,Linea P,ANTENA
SMD,PIN IN PASTE,B&S 2,Linea Q,ANTENA
SMD,PROGRAMACION,B&S 2,Linea D,ANTENA
SMD,PROGRAMACION,B&S 2,Linea I,ANTENA
SMD,PROGRAMACION,B&S 2,Linea O,ANTENA
SMD,PROGRAMACION,B&S 2,Linea P,ANTENA
SMD,PROGRAMACION,B&S 2,Linea Q,ANTENA
SMD,SIPLACE,B&S 2,Linea D,ANTENA
SMD,SIPLACE,B&S 2,Linea I,ANTENA
SMD,SIPLACE,B&S 2,Linea O,ANTENA
SMD,SIPLACE,B&S 2,Linea P,ANTENA
SMD,SIPLACE,B&S 2,Linea Q,ANTENA
SMD,UNIVERSAL,B&S 2,Linea D,ANTENA
SMD,UNIVERSAL,B&S 2,Linea I,ANTENA
SMD,UNIVERSAL,B&S 2,Linea O,ANTENA
SMD,UNIVERSAL,B&S 2,Linea P,ANTENA
SMD,UNIVERSAL,B&S 2,Linea Q,ANTENA
WHSE,002,B&S 2,BIN DETENIDOS,ANTENA
WHSE,002,B&S 2,BIN EMBARQUE,ANTENA
