No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	jdjdj	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C5340020493	NA	A2C00002515	2	3011	050		1351	"TA CAP,TA,22uF,10%,16V,SMD"		ROH	NA	3.18	ES_M3C_O.OSCAR GARCIA	NO	4978375167
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C5340020493	NA	A2C52058505	1	3011	050		1351	"1,40V,120mOhm,SOT223,GENERAL PURPOSE,LOW"		ROH	NA	1.89	ES_M3C_O.OSCAR GARCIA	NO	4978375167
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C5340020493	NA	A2C00002332	52	3011	050		1351	"330nF,10%,16V,X7R,0805,TINNED,CER CAP/"		ROH	NA	4.16	ES_M3C_O.OSCAR GARCIA	NO	4978375167
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53389534B	NA	A2C00018261	51	3011	050		1351	"TLE6250G,CAN-Transceiver,OTHER IC/CAN-Tr"		ROH	NA	133.11	ES_M3C_O.OSCAR GARCIA	NO	4978375066
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53352296T	NA	A2C00002332	6	3011	050		1351	"330nF,10%,16V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.48	ES_M3C_O.OSCAR GARCIA	NO	4978375041
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53352296T	NA	A2C00002515	2	3011	050		1351	"TA CAP,TA,22uF,10%,16V,SMD"		ROH	NA	3.18	ES_M3C_O.OSCAR GARCIA	NO	4978375041
463372	24/05/2014	ZSCR	551	035-1	0	'050	A2C53389534T	NA	A2C00002332	48	3011	050		1351	"330nF,10%,16V,X7R,0805,TINNED,CER CAP/"		ROH	NA	3.84	ES_M3C_O.OSCAR GARCIA	NO	4978375089
463375	24/05/2014	ZSCR	551	035-1	0	'050	A2C9337500092	NA	A2C00044268	8	3011	050		1351	"ATIC81, TSSOP16, Monitoring Unit for TCU"		ROH	NA	43.6	ES_EMS 2208_O.OSCAR GAR	NO	4978375483
463375	24/05/2014	ZSCR	551	035-1	0	'050	A2C9337500092	NA	A2C00003434	1	3011	050		1351	"R LIN,470K,5%,TK200,125mW,0805"		ROH	NA	0.01	ES_EMS 2208_O.OSCAR GAR	NO	4978375483
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00022910	4	3011	050		1351	"C CER,X7R,22nF,10%,25V,0402,Sn"		ROH	NA	0.04	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00039386	3	3011	050		1351	"17V,52V,0603,VARISTOR/AVR"		ROH	NA	0.48	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00044452	1	3011	050		1351	"L COIL/-,10uH,1.81A,SMD"		ROH	NA	1.22	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00010229	6	3011	050		1351	"R LIN,27K,1%,TK100,125mW,0805"		ROH	NA	0.06	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00004347	8	3011	050		1351	"R LIN,82K5,1%,TK100,100mW,0603"		ROH	NA	0.08	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00011061	9	3011	050		1351	"1,NPN,RET,100mA,50V,SOT323_3,BIP/BCR133W"		ROH	NA	0.81	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00000568	6	3011	050		1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	0.84	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00010917	1	3011	050		1351	"R LIN,6K8,5%,TK200,63mW,0402"		ROH	NA	0.01	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00020090	23	3011	050		1351	"C CER,X7R,47nF,10%,16V,0402,Sn"		ROH	NA	0.23	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00006792	11	3011	050		1351	"470nF,10%,16V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.77	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00041399	28	3011	050		1351	"38K3,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.56	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00027042	29	3011	050		1351	"R LIN,2K67,1%,TK100,250mW,1206"		ROH	NA	0.58	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C40000713	1	3011	050		1351	"IC OPCOMP/LM2903,TSSOP8"		ROH	NA	0.65	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00003469	22	3011	050		1351	"R LIN,2K2,5%,TK200,250mW,1206"		ROH	NA	0.44	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00035217	80	3011	050		1351	"1,OP AMP,0Hz,5 PINS SOT23,OP-COMP/AD8515"		ROH	NA	120.8	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00024964	108	3011	050		1351	"T BIP/BC847BW,SOT323"		ROH	NA	8.64	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00006952	8	3011	050		1351	"C CER,X7R,100nF,10%,16V,0603,Sn,STANDARD"		ROH	NA	0.16	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00044894	3	3011	050		1351	"20MHz,40ppm,5.0 x 3.2,QUARTZ CRYSTAL/NX5"		ROH	NA	5.82	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463376	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00003529	22	3011	050		1351	"3K,5%,TK250,250mW,1206,LIN RES/"		ROH	NA	0.44	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00008191	123	3011	050		1351	"R LIN,22K,1%,TK100,100mW,0603"		ROH	NA	1.23	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00039386	703	3011	050		1351	"17V,52V,0603,VARISTOR/AVR"		ROH	NA	112.48	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00011061	15	3011	050		1351	"1,NPN,RET,100mA,50V,SOT323_3,BIP/BCR133W"		ROH	NA	1.35	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00010901	1	3011	050		1351	"R LIN,3K3,5%,TK200,63mW,0402"		ROH	NA	0	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00004347	9	3011	050		1351	"R LIN,82K5,1%,TK100,100mW,0603"		ROH	NA	0.09	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00010917	71	3011	050		1351	"R LIN,6K8,5%,TK200,63mW,0402"		ROH	NA	0.71	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00010445	405	3011	050		1351	"4K7,5%,TK200,63mW,0402,LIN RES/CRCW"		ROH	NA	4.05	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00043448	79	3011	050		1351	"47uH,3A,SMD,COIL/"		ROH	NA	209.35	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00020090	188	3011	050		1351	"C CER,X7R,47nF,10%,16V,0402,Sn"		ROH	NA	1.88	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00048449	105	3011	050		1351	"220uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	101.85	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00044894	16	3011	050		1351	"20MHz,40ppm,5.0 x 3.2,QUARTZ CRYSTAL/NX5"		ROH	NA	31.04	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00045889	29	3011	050		1351	"TA CAP,TA,68uF,20%,10V,SMD"		ROH	NA	24.07	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463377	24/05/2014	ZSCR	551	035-1	0	'050	A2C3278250093	NA	A2C00004519	41	3011	050		1351	"R LIN,2K2,1%,TK100,100mW,0603"		ROH	NA	0.41	ES_SIMOS 12.2_O.OSCAR G	NO	4978374946
463378	24/05/2014	ZSCR	551	035-1	0	'050	A2C9317650092	NA	A2C40012037	17	3011	050		1351	"R LIN,5K62,1%,TK100,250mW,1206"		ROH	NA	0.34	ES_EMS 2214_O.OSCAR GAR	NO	4978375451
463378	24/05/2014	ZSCR	551	035-1	0	'050	A2C9317650092	NA	A2C00003645	5	3011	050		1351	"15K,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.4	ES_EMS 2214_O.OSCAR GAR	NO	4978375451
463378	24/05/2014	ZSCR	551	035-1	0	'050	A2C9317650092	NA	A2C00000242	64	3011	050		1351	"5.6V,300mW,SOT23,ZENER/BZX84C5V6/T1"		ROH	NA	5.76	ES_EMS 2214_O.OSCAR GAR	NO	4978375451
463378	24/05/2014	ZSCR	551	035-1	0	'050	A2C9317650092	NA	A2C00000349	79	3011	050		1351	"120V,200mA,1,STANDARD,SOT23,RECT DIODE/B"		ROH	NA	5.53	ES_EMS 2214_O.OSCAR GAR	NO	4978375451
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00000762	4	3011	050		1351	"2,OP AMP,2.18MHz,SO8,OP-COMP/TLC2272"		ROH	NA	6.4	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00002498	69	3011	050		1351	"TA CAP,TA,10uF,10%,16V,SMD"		ROH	NA	50.37	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00044134	1	3011	050		1351	"255R,1%,TK100,100mW,0603,LIN RES/D11/CRC"		ROH	NA	0.01	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00008321	1	3011	050		1351	"600V,1A,1,FAST,DO214AC,RECT DIODE/RS1J"		ROH	NA	0.26	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00007010	15	3011	050		1351	"1,N_CHAN,-,SMALLSIGNAL,100V,150mA,6Ohm,S"		ROH	NA	3.3	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00003944	4	3011	050		1351	"590R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.32	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00022662	32	3011	050		1351	"8MHz,0.5%,CSTCE,CER RESONATOR"		ROH	NA	26.88	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00004255	75	3011	050		1351	"R LIN,4K53,1%,TK100,125mW,0805"		ROH	NA	0.75	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00045048	1	3011	050		1351	IC MCU PRO/ST72324B (PCN5093 Catania Tra		ROH	NA	10.74	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00025914	11	3011	050		1351	"4.7nF,5%,50V,C0G,0805,Sn,CER CAP/GCM"		ROH	NA	1.21	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00031376	3	3011	050		1351	"4,0V,250mOhm,SOP36,TRUCK APPLICATIONS,HI"		ROH	NA	51.57	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00002159	33	3011	050		1351	"100nF,10%,100V,X7R,1206,TINNED,CER CAP/"		ROH	NA	8.58	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00002217	26	3011	050		1351	"4.7nF,20%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	3.64	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C40002678	18	3011	050		1351	"T BIP/BC846B (3k reel),SOT23"		ROH	NA	1.26	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00000939	2	3011	050		1351	TRANCEIVER: BIDIRECTIONAL BUS T		ROH	NA	18.12	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00000254	3	3011	050		1351	"11V,350mW,SOT23,ZENER/BZX84-C11/T1"		ROH	NA	0.27	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00010829	83	3011	050		1351	"R LIN,21K5,1%,TK100,100mW,0603"		ROH	NA	0.83	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00000436	6	3011	050		1351	"1,NPN,NORMAL,200mA,40V,SOT23,BIP/PMBT390"		ROH	NA	0.54	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00001174	4	3011	050		1351	"4,GATE,SO14,LOGIC/74HC32------------1250"		ROH	NA	2.12	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00021335	18	3011	050		1351	"1.24V,30mA,NOT APPLICABLE,SOT23,VOLT REG"		ROH	NA	39.78	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00007840	163	3011	050		1351	"TA CAP,TA,68uF,20%,10V,SMD"		ROH	NA	153.22	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00033676	26	3011	050		1351	"0R1,1W,3.1A,10nH,SHUNT_R_SMP,SHUNT/Preci"		ROH	NA	42.9	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00039133	4	3011	050		1351	"2,OP AMP,0Hz,SO8,OP-COMP/LM2904V"		ROH	NA	2.96	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C40015028	1	3011	050		1351	"IC OPCOMP/LM2903,SOIC8"		ROH	NA	1.9	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280093	NA	A2C00045248	8	3011	050		1351	"100V,20A,2,Common Cathode,SCHOTTKY,TO263"		ROH	NA	23.84	ES_SID913_O.OSCAR GARCI	NO	4978375426
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00000412	8	3011	050		1351	"40V,250mA,1,SCHOTTKY,SOT23,RECT DIODE/BA"		ROH	NA	1.44	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00038366	1	3011	050		1351	"70V,200mA,2,series, FAST,SOT323_3,RECT D"		ROH	NA	0.1	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00048881	1	3011	050		1351	"1uF,10%,100V,X7R,1210,,CER CAP/"		ROH	NA	0.91	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00003761	1	3011	050		1351	"6K65,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.08	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C40007509	6	3011	050		1351	"D REC/BAV70,75V,200mA,SOT-23,15ns"		ROH	NA	0.42	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00025914	16	3011	050		1351	"4.7nF,5%,50V,C0G,0805,Sn,CER CAP/GCM"		ROH	NA	1.76	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00007734	1	3011	050		1351	"57K6,0.5%,TK50,250mW,MINIMELF0204,LIN RE"		ROH	NA	0.12	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00041272	1	3011	050		1351	"2.5V,24mA,STEP DOWN,SOT23,VOLT REG/LM404"		ROH	NA	2.55	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00004003	4	3011	050		1351	"22R,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.32	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280092	NA	A2C00018819	1	3011	050		1351	"70V,200mA,2,FAST,SOT323_3,RECT DIODE/BAV"		ROH	NA	0.07	ES_SID913_O.OSCAR GARCI	NO	4978375371
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191250093	NA	A2C00018966	2	3011	050		1351	"4K7,3650,0805,NTC/B57620-C2472-A262"		ROH	NA	1.18	ES_SID913_O.OSCAR GARCI	NO	4978375326
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280092	NA	A2C00020895	20	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	1.4	ES_SID913_O.OSCAR GARCI	NO	4978375371
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280092	NA	A2C00025914	11	3011	050		1351	"4.7nF,5%,50V,C0G,0805,Sn,CER CAP/GCM"		ROH	NA	1.21	ES_SID913_O.OSCAR GARCI	NO	4978375371
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280092	NA	A2C00000562	1	3011	050		1351	"1,PNP,NORMAL,100mA,45V,SOT23,BIP/BC857C"		ROH	NA	0.07	ES_SID913_O.OSCAR GARCI	NO	4978375371
463379	24/05/2014	ZSCR	551	035-1	0	'050	A2C8191280092	NA	A2C00813500	1	3011	050		1351	"IC MCU/FLASH,-,SO8,PIC12LF1822T"		ROH	NA	5.54	ES_SID913_O.OSCAR GARCI	NO	4978375371
463380	24/05/2014	ZSCR	551	035-1	0	'050	A2C7423400093	NA	A2C40002612	3	3011	050		1351	"IC LOGIC/SN74AHC1G00DCKR,SOT353-PHILIPS"		ROH	NA	0.66	ES_MCM2.1_M.MARCO MARTI	NO	4978375294
463380	24/05/2014	ZSCR	551	035-1	0	'050	A2C7423400093	NA	A2C00480200	9	3011	050		1351	"T FET/SQM120N04-2m1,MOS,POWER,N_CHAN,40V"		ROH	NA	52.47	ES_MCM2.1_M.MARCO MARTI	NO	4978375294
463380	24/05/2014	ZSCR	551	035-1	0	'050	A2C7423400093	NA	A2C40014737	40	3011	050		1351	"R LIN,470R,5%,TK200,125mW,0805"		ROH	NA	0.4	ES_MCM2.1_M.MARCO MARTI	NO	4978375294
463380	24/05/2014	ZSCR	551	035-1	0	'050	A2C7423400093	NA	A2C40002747	2	3011	050		1351	"D REC/BAS321,200V,625mA,SOD323,0s"		ROH	NA	0.2	ES_MCM2.1_M.MARCO MARTI	NO	4978375294
