area,tecnologia,defecto,causa,division,proyecto,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,PROVEEDOR,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO/GOLPEADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO/GOLPEADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,MATERIAL OBSOLETO,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PRUEBAS DE INGENIERIA,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SET UP DE EQUIPO,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,PROVEEDOR,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO/GOLPEADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO/GOLPEADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,PROVEEDOR,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MAQUINA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,MAL DISEÑO,METODO,PSAD,DAIMLER STAR2_ISC,,
BACKEND/ENSAMBLE FINAL,DTA,MATERIAL OBSOLETO,METODO,PSAD,DAIMLER STAR2_ISC,,
